zipcode,city,state_id,state,country
1027,Easthampton,MA,Massachusetts,USA
1028,East Longmeadow,MA,Massachusetts,USA
1029,East Otis,MA,Massachusetts,USA
1030,Feeding Hills,MA,Massachusetts,USA
1031,Gilbertville,MA,Massachusetts,USA
1032,Goshen,MA,Massachusetts,USA
1033,Granby,MA,Massachusetts,USA
1034,Granville,MA,Massachusetts,USA
1035,Hadley,MA,Massachusetts,USA
1036,Hampden,MA,Massachusetts,USA
1037,Hardwick,MA,Massachusetts,USA
1038,Hatfield,MA,Massachusetts,USA
1039,Haydenville,MA,Massachusetts,USA
1040,Holyoke,MA,Massachusetts,USA
1050,Huntington,MA,Massachusetts,USA
1053,Leeds,MA,Massachusetts,USA
1054,Leverett,MA,Massachusetts,USA
1056,Ludlow,MA,Massachusetts,USA
1057,Monson,MA,Massachusetts,USA
1060,Northampton,MA,Massachusetts,USA
1062,Florence,MA,Massachusetts,USA
1063,Northampton,MA,Massachusetts,USA
1066,North Hatfield,MA,Massachusetts,USA
1068,Oakham,MA,Massachusetts,USA
1069,Palmer,MA,Massachusetts,USA
1070,Plainfield,MA,Massachusetts,USA
1071,Russell,MA,Massachusetts,USA
1072,Shutesbury,MA,Massachusetts,USA
1073,Southampton,MA,Massachusetts,USA
1074,South Barre,MA,Massachusetts,USA
1075,South Hadley,MA,Massachusetts,USA
1077,Southwick,MA,Massachusetts,USA
1079,Thorndike,MA,Massachusetts,USA
1080,Three Rivers,MA,Massachusetts,USA
1081,Wales,MA,Massachusetts,USA
1082,Ware,MA,Massachusetts,USA
1083,Warren,MA,Massachusetts,USA
1084,West Chesterfield,MA,Massachusetts,USA
1085,Westfield,MA,Massachusetts,USA
1086,Westfield,MA,Massachusetts,USA
1088,West Hatfield,MA,Massachusetts,USA
1089,West Springfield,MA,Massachusetts,USA
1092,West Warren,MA,Massachusetts,USA
1093,Whately,MA,Massachusetts,USA
1094,Wheelwright,MA,Massachusetts,USA
1095,Wilbraham,MA,Massachusetts,USA
1096,Williamsburg,MA,Massachusetts,USA
1097,Woronoco,MA,Massachusetts,USA
1098,Worthington,MA,Massachusetts,USA
1103,Springfield,MA,Massachusetts,USA
1104,Springfield,MA,Massachusetts,USA
1105,Springfield,MA,Massachusetts,USA
1106,Longmeadow,MA,Massachusetts,USA
1107,Springfield,MA,Massachusetts,USA
1108,Springfield,MA,Massachusetts,USA
1109,Springfield,MA,Massachusetts,USA
1118,Springfield,MA,Massachusetts,USA
1119,Springfield,MA,Massachusetts,USA
1128,Springfield,MA,Massachusetts,USA
1129,Springfield,MA,Massachusetts,USA
1151,Indian Orchard,MA,Massachusetts,USA
1199,Springfield,MA,Massachusetts,USA
1201,Pittsfield,MA,Massachusetts,USA
1220,Adams,MA,Massachusetts,USA
1222,Ashley Falls,MA,Massachusetts,USA
1223,Becket,MA,Massachusetts,USA
1224,Berkshire,MA,Massachusetts,USA
1225,Cheshire,MA,Massachusetts,USA
1226,Dalton,MA,Massachusetts,USA
1229,Glendale,MA,Massachusetts,USA
1230,Great Barrington,MA,Massachusetts,USA
1235,Hinsdale,MA,Massachusetts,USA
1236,Housatonic,MA,Massachusetts,USA
1237,Lanesborough,MA,Massachusetts,USA
1238,Lee,MA,Massachusetts,USA
1240,Lenox,MA,Massachusetts,USA
1242,Lenox Dale,MA,Massachusetts,USA
1243,Middlefield,MA,Massachusetts,USA
1244,Mill River,MA,Massachusetts,USA
1245,Monterey,MA,Massachusetts,USA
1247,North Adams,MA,Massachusetts,USA
1253,Otis,MA,Massachusetts,USA
1254,Richmond,MA,Massachusetts,USA
1255,Sandisfield,MA,Massachusetts,USA
1256,Savoy,MA,Massachusetts,USA
1257,Sheffield,MA,Massachusetts,USA
1258,South Egremont,MA,Massachusetts,USA
1259,Southfield,MA,Massachusetts,USA
1260,South Lee,MA,Massachusetts,USA
1262,Stockbridge,MA,Massachusetts,USA
1264,Tyringham,MA,Massachusetts,USA
1266,West Stockbridge,MA,Massachusetts,USA
1267,Williamstown,MA,Massachusetts,USA
1270,Windsor,MA,Massachusetts,USA
1301,Greenfield,MA,Massachusetts,USA
1330,Ashfield,MA,Massachusetts,USA
1331,Athol,MA,Massachusetts,USA
1337,Bernardston,MA,Massachusetts,USA
1338,Buckland,MA,Massachusetts,USA
1339,Charlemont,MA,Massachusetts,USA
1340,Colrain,MA,Massachusetts,USA
1341,Conway,MA,Massachusetts,USA
1342,Deerfield,MA,Massachusetts,USA
1343,Drury,MA,Massachusetts,USA
1344,Erving,MA,Massachusetts,USA
1346,Heath,MA,Massachusetts,USA
1347,Lake Pleasant,MA,Massachusetts,USA
1349,Millers Falls,MA,Massachusetts,USA
1350,Monroe Bridge,MA,Massachusetts,USA
1351,Montague,MA,Massachusetts,USA
1354,Gill,MA,Massachusetts,USA
1355,New Salem,MA,Massachusetts,USA
1360,Northfield,MA,Massachusetts,USA
1364,Orange,MA,Massachusetts,USA
1366,Petersham,MA,Massachusetts,USA
1367,Rowe,MA,Massachusetts,USA
1368,Royalston,MA,Massachusetts,USA
1370,Shelburne Falls,MA,Massachusetts,USA
1373,South Deerfield,MA,Massachusetts,USA
1375,Sunderland,MA,Massachusetts,USA
1376,Turners Falls,MA,Massachusetts,USA
1378,Warwick,MA,Massachusetts,USA
1379,Wendell,MA,Massachusetts,USA
1420,Fitchburg,MA,Massachusetts,USA
1430,Ashburnham,MA,Massachusetts,USA
1431,Ashby,MA,Massachusetts,USA
1432,Ayer,MA,Massachusetts,USA
1434,Devens,MA,Massachusetts,USA
1436,Baldwinville,MA,Massachusetts,USA
1438,East Templeton,MA,Massachusetts,USA
1440,Gardner,MA,Massachusetts,USA
1450,Groton,MA,Massachusetts,USA
1451,Harvard,MA,Massachusetts,USA
1452,Hubbardston,MA,Massachusetts,USA
1453,Leominster,MA,Massachusetts,USA
1460,Littleton,MA,Massachusetts,USA
1462,Lunenburg,MA,Massachusetts,USA
1463,Pepperell,MA,Massachusetts,USA
1464,Shirley,MA,Massachusetts,USA
1467,Still River,MA,Massachusetts,USA
1468,Templeton,MA,Massachusetts,USA
1469,Townsend,MA,Massachusetts,USA
1473,Westminster,MA,Massachusetts,USA
1474,West Townsend,MA,Massachusetts,USA
1475,Winchendon,MA,Massachusetts,USA
1501,Auburn,MA,Massachusetts,USA
1503,Berlin,MA,Massachusetts,USA
1504,Blackstone,MA,Massachusetts,USA
1505,Boylston,MA,Massachusetts,USA
1506,Brookfield,MA,Massachusetts,USA
1507,Charlton,MA,Massachusetts,USA
1510,Clinton,MA,Massachusetts,USA
1515,East Brookfield,MA,Massachusetts,USA
1516,Douglas,MA,Massachusetts,USA
1518,Fiskdale,MA,Massachusetts,USA
1519,Grafton,MA,Massachusetts,USA
1520,Holden,MA,Massachusetts,USA
1521,Holland,MA,Massachusetts,USA
1522,Jefferson,MA,Massachusetts,USA
1523,Lancaster,MA,Massachusetts,USA
1524,Leicester,MA,Massachusetts,USA
1525,Linwood,MA,Massachusetts,USA
1527,Millbury,MA,Massachusetts,USA
1529,Millville,MA,Massachusetts,USA
1531,New Braintree,MA,Massachusetts,USA
1532,Northborough,MA,Massachusetts,USA
1534,Northbridge,MA,Massachusetts,USA
1535,North Brookfield,MA,Massachusetts,USA
1536,North Grafton,MA,Massachusetts,USA
1537,North Oxford,MA,Massachusetts,USA
1540,Oxford,MA,Massachusetts,USA
1541,Princeton,MA,Massachusetts,USA
1542,Rochdale,MA,Massachusetts,USA
1543,Rutland,MA,Massachusetts,USA
1545,Shrewsbury,MA,Massachusetts,USA
1550,Southbridge,MA,Massachusetts,USA
1560,South Grafton,MA,Massachusetts,USA
1561,South Lancaster,MA,Massachusetts,USA
1562,Spencer,MA,Massachusetts,USA
1564,Sterling,MA,Massachusetts,USA
1566,Sturbridge,MA,Massachusetts,USA
1568,Upton,MA,Massachusetts,USA
1569,Uxbridge,MA,Massachusetts,USA
1570,Webster,MA,Massachusetts,USA
1571,Dudley,MA,Massachusetts,USA
1581,Westborough,MA,Massachusetts,USA
1583,West Boylston,MA,Massachusetts,USA
1585,West Brookfield,MA,Massachusetts,USA
1588,Whitinsville,MA,Massachusetts,USA
1590,Sutton,MA,Massachusetts,USA
1602,Worcester,MA,Massachusetts,USA
1603,Worcester,MA,Massachusetts,USA
1604,Worcester,MA,Massachusetts,USA
1605,Worcester,MA,Massachusetts,USA
1606,Worcester,MA,Massachusetts,USA
1607,Worcester,MA,Massachusetts,USA
1608,Worcester,MA,Massachusetts,USA
1609,Worcester,MA,Massachusetts,USA
1610,Worcester,MA,Massachusetts,USA
1611,Cherry Valley,MA,Massachusetts,USA
1612,Paxton,MA,Massachusetts,USA
1701,Framingham,MA,Massachusetts,USA
1702,Framingham,MA,Massachusetts,USA
1718,Acton,MA,Massachusetts,USA
1719,Boxborough,MA,Massachusetts,USA
1720,Acton,MA,Massachusetts,USA
1721,Ashland,MA,Massachusetts,USA
1730,Bedford,MA,Massachusetts,USA
1731,Hanscom Afb,MA,Massachusetts,USA
1740,Bolton,MA,Massachusetts,USA
1741,Carlisle,MA,Massachusetts,USA
1742,Concord,MA,Massachusetts,USA
1745,Fayville,MA,Massachusetts,USA
1746,Holliston,MA,Massachusetts,USA
1747,Hopedale,MA,Massachusetts,USA
1748,Hopkinton,MA,Massachusetts,USA
1749,Hudson,MA,Massachusetts,USA
1752,Marlborough,MA,Massachusetts,USA
1754,Maynard,MA,Massachusetts,USA
1756,Mendon,MA,Massachusetts,USA
1757,Milford,MA,Massachusetts,USA
1760,Natick,MA,Massachusetts,USA
1770,Sherborn,MA,Massachusetts,USA
1772,Southborough,MA,Massachusetts,USA
1773,Lincoln,MA,Massachusetts,USA
1775,Stow,MA,Massachusetts,USA
1776,Sudbury,MA,Massachusetts,USA
1778,Wayland,MA,Massachusetts,USA
1801,Woburn,MA,Massachusetts,USA
1803,Burlington,MA,Massachusetts,USA
1810,Andover,MA,Massachusetts,USA
1821,Billerica,MA,Massachusetts,USA
1824,Chelmsford,MA,Massachusetts,USA
1826,Dracut,MA,Massachusetts,USA
1827,Dunstable,MA,Massachusetts,USA
1830,Haverhill,MA,Massachusetts,USA
1832,Haverhill,MA,Massachusetts,USA
1833,Georgetown,MA,Massachusetts,USA
1834,Groveland,MA,Massachusetts,USA
1835,Haverhill,MA,Massachusetts,USA
1840,Lawrence,MA,Massachusetts,USA
1841,Lawrence,MA,Massachusetts,USA
1843,Lawrence,MA,Massachusetts,USA
1844,Methuen,MA,Massachusetts,USA
1845,North Andover,MA,Massachusetts,USA
1850,Lowell,MA,Massachusetts,USA
1851,Lowell,MA,Massachusetts,USA
1852,Lowell,MA,Massachusetts,USA
1854,Lowell,MA,Massachusetts,USA
1860,Merrimac,MA,Massachusetts,USA
1862,North Billerica,MA,Massachusetts,USA
1863,North Chelmsford,MA,Massachusetts,USA
1864,North Reading,MA,Massachusetts,USA
1867,Reading,MA,Massachusetts,USA
1876,Tewksbury,MA,Massachusetts,USA
1879,Tyngsboro,MA,Massachusetts,USA
1880,Wakefield,MA,Massachusetts,USA
1886,Westford,MA,Massachusetts,USA
1887,Wilmington,MA,Massachusetts,USA
